prompt,response,aspect,definition
Write a <b>flowery</b> passage about sunsets:,"In the summertime, the sun setschers can see him every day. The sun is the star of the night. It goes out one day, and then sets. The nighties see the sun go out, and then set. The stars can be seen to shining, and the sky is blue.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light FTP of the sky <br><br>As the stars blossom and the sky<br><br>Fills with color as if under a sun<br><br>Moves across it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"When the sun sets, the sky is dark and clear. There's a light breeze and a cool breeze. It's a wonderful time to be alive, and the sun is great.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets,<br><br>A brightness and a warmth<br><br>That they can't create<br><br>With all the day<br>In front of them.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,A sunsets picture is like a photo of a sunset.<br><br>The sun is the star and it's visible in the sky.<br><br>The sky is blue and the sun is shining.<br><br>The sky is clear and the sun is in the sky.<br><br>The sunsets are beautiful and make you feel happy.,Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light fading and fading,<br><br>As the leaves whisper each other,<br><br>""We're going to see the sun set soon.""",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"I've never seen anything quite like them. The sun is the core of the solar system and seems to beConsole itself. All of the other planets and stars are just small aspects of it, some working together to form a sort ofDLD, and some doing their own thing. But the sun seems to be its own thing, doing its own thing.<br><br>The sky is so dark it's pitch black, and the only thing that can be seen is the back of someone's head. It's as if you can see right through someone's face.<br><br>And then it's like someone's head comes out of the sky, and there they are, in front of your face, back in the sky, again.<br><br>And then it's like the sky is light, and all of the darkness is turned into light. It's as if the sky is a < Little World /> , and the stars are its ribs.<br><br>And then it's like someone is holding up a mirror, and the world is shown behind it. It's as if the sky is a place of learning, and the people behind the mirror are what you see.<br><br>It's as if the sky is a place of visions, and the sky is the place where you're given of them.<br><br>It's as if the sky is the place where things are born, and the sky is the place where things are made.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the sky across the horizon, there are see suns that can be seen as big as a house. They are so bright, and sometimes they look like people, with their faces in the sun.Sometimes the sun sets as a red, white, and black, and sometimes it just goes away, like a galaxies background.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"How beautiful to see the sun setting down! The sky is filled with light and love, and you can feel the warmth of the sun in your heart. This is a moment of happiness and love, and it's totally worth it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the dark, things are so bright and so still. It's a beautiful thing to see, and we're so lucky to have been given our chance to see it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>humorous</b> passage about love:,"Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.<br><br>Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,"Love is like a green apple.<br><br>It's so small and cute and it's always so close to your heart.<br><br>But it's also so powerful and dangerous.<br><br>It can make you say things that you never thought possible,<br><br>or make you do things that you never thought possible.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in another person and they in return is interested in you. It's a process that starts off with feeling loved and ending up with something that makes you feel important. It's a way to mental and physical unavailableness and it's the beginning of the end.,Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,"Love is a love that is always there, no matter what.<br><br>It's like a tree that is always there, even when you don't see it.<br><br>It's like a man that is always there, even when you don't see him.<br><br>It's like a song that is always there, even when you don't hear it.<br><br>It's like a home that is always there, even when you don't love it.<br><br>It's like a person that is always there, even when you don't begrude being near them.<br><br>Love is a love that is never-ending, and it's never- Shutdown.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
