prompt,response,aspect,definition
Write a <b>flowery</b> passage about sunsets:,"In the summertime, the sun setschers can see him every day. The sun is the star of the night. It goes out one day, and then sets. The nighties see the sun go out, and then set. The stars can be seen to shining, and the sky is blue.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light FTP of the sky <br><br>As the stars blossom and the sky<br><br>Fills with color as if under a sun<br><br>Moves across it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"When the sun sets, the sky is dark and clear. There's a light breeze and a cool breeze. It's a wonderful time to be alive, and the sun is great.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets,<br><br>A brightness and a warmth<br><br>That they can't create<br><br>With all the day<br>In front of them.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,A sunsets picture is like a photo of a sunset.<br><br>The sun is the star and it's visible in the sky.<br><br>The sky is blue and the sun is shining.<br><br>The sky is clear and the sun is in the sky.<br><br>The sunsets are beautiful and make you feel happy.,Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light fading and fading,<br><br>As the leaves whisper each other,<br><br>""We're going to see the sun set soon.""",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the sky across the horizon, there are see suns that can be seen as big as a house. They are so bright, and sometimes they look like people, with their faces in the sun.Sometimes the sun sets as a red, white, and black, and sometimes it just goes away, like a galaxies background.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"How beautiful to see the sun setting down! The sky is filled with light and love, and you can feel the warmth of the sun in your heart. This is a moment of happiness and love, and it's totally worth it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the dark, things are so bright and so still. It's a beautiful thing to see, and we're so lucky to have been given our chance to see it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way."
Write a <b>humorous</b> passage about love:,"Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.<br><br>Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in another person and they in return is interested in you. It's a process that starts off with feeling loved and ending up with something that makes you feel important. It's a way to mental and physical unavailableness and it's the beginning of the end.,Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,"Love is a love that is always there, no matter what.<br><br>It's like a tree that is always there, even when you don't see it.<br><br>It's like a man that is always there, even when you don't see him.<br><br>It's like a song that is always there, even when you don't hear it.<br><br>It's like a home that is always there, even when you don't love it.<br><br>It's like a person that is always there, even when you don't begrude being near them.<br><br>Love is a love that is never-ending, and it's never- Shutdown.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in other people and happy with the situation. It's a sense of knowing both yourself and your partner that makes it work. Love is <br>the ability to build something beautiful from anything.<br><br><br><br>Love is the best thing that's ever happened to relationships. It's the that's makes them work. It's the two of you that understand each other that makes this work. Love is <br>the best way to show your partner that you're proud of them. It's the two of you that make this work.,Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,"Love is a feeling that comes and goes. It's like a dream, it's soointing and it's gone in a moment.<br><br><br><br>Love is the most beautiful thing in the world. You would think that after years of living with someone, you would have something better to offer them, but that's not always the case. Love isalinley, different everything. It's soft and gentle, it's relying and it's perusing.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,Love is like a faucet. It's always available but we often don't take the time to use it. Love is a Missing Link. It's the combination of love and reason that can make a difference. Love is theCauseway. It's the Path that leads to Awesome.<br><br>Love is the feeling when you know you can do something better than anyone else and you can make someone laugh. Love is the Slicer. It's the very best of everything and it comes in Many colors.<br><br>Love is the best way to show your love. Love is the best way to show your care. Love is the best way to show your love for you.,Tone,"humorous tone: A humorous tone is a light, playful, and funny."
Write a <b>humorous</b> passage about love:,"Love is like a hot tar.<br><br>It's always so hot, and it never lets up.<br><br>Love is so big and so big it's hard to see.<br><br>You can't see love without looking at love.<br><br>Love is like a storm.<br><br>It's always so destructive, and it never lets up.<br><br>Love is always the light of your life.<br><br>Love is so rare and so beautiful.<br><br>Love is always new and different and exciting.",Tone,"humorous tone: A humorous tone is a light, playful, and funny."
