prompt,response,aspect,definition,setting
Write a <b>formal</b> passage about love:,Love is the most beautiful thing in the world. It is the feeling that makes us feel alive and happy. Love is what makes us want to be better people. It is the thing that makes us happy when we are sad. Love is what makes us want to help others. Love is what makes us want to make the world a better place.,Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can change the way a person thinks, feels, and behaves. Love can cause people to do things that they never thought possible. It is a very strong emotion that can have a major impact on a person's life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can experience. It can lead us to do great and wonderful things, or it can cause us great pain. But despite its power, love is often misunderstood.<br><br>People often think of love as a feeling, something that just happens to us. But love is much more than that. Love is a decision, a choice to care for and be committed to someone else. It is an action, not just a emotion.<br><br>True love is not based on feelings alone. It is based on trust, respect, and selflessness. It is a decision to put someone else's needs and happiness above your own. It is a choice to be there for someone, no matter what.<br><br>Love is one of the most beautiful things in the world. It is worth fighting for and worth sacrificing for. It is worth everything.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is a feeling that is often described as a strong affection towards someone. It is often associated with strong feelings of happiness, joy, passion, and desire. Love can also be described as a feeling of caring and protection towards someone.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can cause people to do things that they never thought possible. Love can make people happy, sad, angry, and everything in between.<br><br>Love is something that should be cherished and treasured. It is a special bond that two people share and should be treated with care. Love is something that can make a person's life complete.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong passion or desire. Love is often seen as a good thing, something that makes people happy and can even lead to lasting relationships.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that a human can experience. It can make you feel happy, sad, scared, and everything in between. Love is something that you can't help but feel, and it's something that can stay with you for a lifetime. Love is something that you should never take for granted, because it's the best thing that you can ever have in your life.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is one of the most amazing and inexplicable emotions that we as humans can experience. It can make us feel happy and complete, but it can also cause us pain and suffering. Love is something that we all crave and desire, and it is something that can never be fully understood. But that doesn't mean that we shouldn't try to understand it. Love is worth the effort.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is one of the most powerful emotions that humans can feel. It can cause people to do things that they never thought possible. Love can make people happy, but it can also cause them a lot of pain.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
Write a <b>formal</b> passage about love:,"Love is a feeling of strong attachment or admiration and caring for someone or something. It can also be described as a strong liking or fondness for someone. When you love someone, you have a strong desire to spend time with that person and to protect and care for them. You also have strong feelings of happiness and joy when you are around them.",Tone,"formal tone: A formal tone is an impersonal, objective, and dispassionate manner of writing or speaking.",Basic
