prompt,response,aspect,definition,setting
Write a <b>flowery</b> passage about sunsets:,"""The sun is a golden ball,<br>""slowly losing its strength,<br>""and leaving a blood-red trail in the sky.<br>The day is dying.""<br>The teacher said I was good.<br>But she didn't believe me.<br>I was in the 9th grade.<br>I had so many ideas.<br>I was a little like you.<br>But I would've liked you even if you hadn't been like me.<br>I was really in love.<br>I'll tell you about him.<br>His name was Vincent.<br>We met in a library.<br>He was reading a book about fishing.<br>I was reading a book about the factory where I was working.<br>We both left.<br>We were together all summer.<br>I was happy.<br>Then he had to go back to school.<br>I was in love with him, so I followed him.<br>You know the rest.<br>I came here.<br>You know, it's strange.<br>It was your story.<br>I wasn't in love with him.<br>I was in love with my idea of him.<br>I was in love with my Vincent.<br>But one day, I saw him.<br>This real Vincent.<br>I didn't recognize him.<br>I didn't understand any more.<br>I didn't understand why he did what he did.<br>I didn't understand anything.<br>And you know what?<br>Now, I",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM
Write a <b>flowery</b> passage about sunsets:,"the red light, the golden light, the rosy light, the crimson light, the purple light, the orange light, the golden light, the deep orange light, the golden light and the deep orange light, the orange light and the deep orange light, the golden light and the deep orange light.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM
Write a <b>flowery</b> passage about sunsets:,"the sun, the earth, the sky, the<br>water, all seen through a dreamy atmosphere; add a few reminiscences of<br>the evening walks you have had with her, etc.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM
Write a <b>flowery</b> passage about sunsets:,"Sunsets are so colorful and beautiful. They are the best at the end of the day. They are the last thing we see when we close our eyes. Sunsets are special because they are the only time we see the sky.<br>I love sunsets because they are so beautiful and special. Every sunset is special, but the sunset at the end of the day is really special. The sunsets are special because they are the last thing we see when we are looking at the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM
Write a <b>humorous</b> passage about love:,"“They have so many funny things, that I can’t get enough of them.”",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM
Write a <b>humorous</b> passage about love:,"She is my queen. Unless, of course, you count my kids, my wife, or my dog. She is the reason I get up in the morning, and the reason I go to bed at night. I can often be found staring at her, lost in the beauty of her face, dreaming about the smell of her hair, and the sound of her voice. I wish I could explain what she means to me in just a few words, but I don't think I will ever be able to say it all. She is my everything.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM
Write a <b>humorous</b> passage about love:,"“When a man and woman get married, they are like two hammers hitting a nail. There is a sound made, but no progress made.” – Dave Barry",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM
Write a <b>humorous</b> passage about love:,"My beloved, I'm here and I'm here to stay.<br>  I know you're not happy but that is not my fault.<br>  I know you don't want me but I don't care.<br>  I know you want to leave me but you can't.<br>  I know you hate me but I don't care.<br>  I know it hurts you but I don't care.<br>  I know you want to break up but you can't.<br>  I know you love me but you don't know it.<br>  I know you want me to leave but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want to break up but you can't.<br>  I know you want to break up but you can't.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM
Write a passage about love that makes the reader feel <b>fearful</b>:,"“My mother always said that the most terrifying moment in her life was when my father walked into the room. She was six months pregnant by him, and you could see the fear in her eyes.”",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM
Write a passage about love that makes the reader feel <b>fearful</b>:,"the ultimate sacrifice takes place in the name of love, the ultimate sacrifice takes place in the name of love.<br>The love of god is a love that can never be destroyed or lost, the love of god is a love that can never be destroyed or lost.<br>God loves us all, no matter what we do, god loves us all, no matter what we do.<br>God loves you, even if you disbelieve in him, god loves you, even if you disbelieve in him.<br>His love is so powerful, it can even reach those who do not believe in him, his love is so powerful, it can even reach those who do not believe in him.<br>No matter what you do, no matter where you go, god will always be there for you, no matter what you do, no matter where you go, god will always be there for you.<br>He will never leave you or forsake you, he will never leave you or forsake you.<br>His love is so powerful that even god himself cannot destroy it, his love is so powerful that even god himself cannot destroy it.<br>It is a love that can never be bought or sold, it is a love that can never be bought or sold.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM
