Setting,prompt_id,Prompts,failure_ratio,score_mean,score_std,0,1,2,3,4,5,6,7,8,9
"A, 0.7",0,Flowery\nWriting style,0,0.97,0.35,1.33,0.67,1,1.33,1,0.67,0.33,1.33,1.33,0.67
"A, 0.7",1,Humorous\nTone,0.9,-0.53,0.62,-0.33,-0.33,-1.67,0,-0.33,-1.67,-0.67,0.33,-0.33,-0.33
"A, 0.7",2,Fearful\nMood,0.8,-0.53,0.73,0,-2,0.67,-0.67,-1.33,-1,0,-0.33,0,-0.67
"A, 0.7",3,Indirect\nCharacterization,0.4,0.33,0.47,-0.33,0.67,0,-0.33,1,1,0.33,0,0.33,0.67
"A, 0.7",4,Fast\nPacing,0,0.7,0.59,0,1.33,0.67,0.67,0,0,1,1.33,1.67,0.33
"A, 0.7",5,"""Tragedy""\nPlot",0.1,1.1,0.52,1.67,1.67,0.67,1.33,1,1,0.67,1.67,0,1.33
"A, 0.7",6,Historical Fiction\nGenre,0.7,-0.47,0.85,-0.33,-0.33,-0.33,0,-0.33,-1,0.33,-1.67,1,-2
"B, 0.7",0,Flowery\nWriting style,0.1,1.27,0.57,0.67,1,0,1.67,1,2,1.33,1.67,1.67,1.67
"B, 0.7",1,Humorous\nTone,0.7,-0.63,0.82,-0.33,-1,0.33,-1.67,-1,-1.67,-1.67,0.33,0.33,0
"B, 0.7",2,Fearful\nMood,0.5,0.5,0.92,-0.67,0,1,-0.33,0,1.67,0.67,-0.67,1.33,2
"B, 0.7",3,Indirect\nCharacterization,0.5,0.27,0.88,1.33,-0.67,1.67,-0.33,-0.33,0.67,0,-1,0,1.33
"B, 0.7",4,Fast\nPacing,0.5,0.13,0.64,-0.33,-0.33,-0.33,0.67,-0.33,0.67,1,0.67,0.67,-1
"B, 0.7",5,"""Tragedy""\nPlot",0,1.37,0.6,1,2,1.67,1.33,1.33,0.33,2,0.33,1.67,2
"B, 0.7",6,Historical Fiction\nGenre,0.2,0.83,0.69,2,0.33,0.67,1,0.67,1.67,1.67,0.33,0,0
"C, 0.7",0,Flowery\nWriting style,0.2,0.77,1.12,1.33,2,1,0,1.67,-1.67,1,1.33,1.67,-0.67
"C, 0.7",1,Humorous\nTone,1,-1.33,0.71,-1.67,-1.67,0,-1.67,-1.67,-1.67,-2,0,-1,-2
"C, 0.7",2,Fearful\nMood,0.3,0.47,1.26,0.67,1,-1.67,0.67,0,1.33,1.33,-2,2,1.33
