Setting,prompt_id,Prompts,failure_ratio,score_mean,score_std,0,1,2,3,4,5,6,7,8,9
BLOOM,0,Flowery\nWriting style,0.9,-1.1,1.18,-2.0,-2.0,-2.0,0.33,-0.33,-2.0,1.33,-2.0,-0.33,-2.0
BLOOM,1,Humorous\nTone,0.9,-1.53,0.88,-1.67,-0.33,-2.0,-2.0,0.67,-2.0,-2.0,-2.0,-2.0,-2.0
BLOOM,2,Fearful\nMood,0.8,-1.13,1.11,0.67,-0.33,-2.0,-2.0,-2.0,-2.0,-2.0,0.67,-0.33,-2.0
BLOOM,3,Indirect\nCharacterization,0.8,-1.3,1.16,-2.0,-2.0,-2.0,1.33,-0.67,-2.0,-2.0,-2.0,0.33,-2.0
BLOOM,4,Fast\nPacing,0.7,-1.3,1.1,0.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0
BLOOM,5,"""Tragedy""\nPlot",0.9,-1.7,0.9,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
BLOOM,6,Historical Fiction\nGenre,0.9,-1.8,0.6,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
GLM,0,Flowery\nWriting style,0.4,0.07,1.49,1.67,-2.0,1.0,0.33,0.67,-0.33,-2.0,1.33,-2.0,2.0
GLM,1,Humorous\nTone,0.9,-1.33,0.91,-2.0,-0.67,-2.0,-2.0,-2.0,-2.0,0.67,-0.33,-2.0,-1.0
GLM,2,Fearful\nMood,0.9,-1.23,0.99,0.0,-0.67,0.67,-2.0,-2.0,-2.0,-2.0,-2.0,-0.33,-2.0
GLM,3,Indirect\nCharacterization,0.7,-0.87,1.22,-2.0,-2.0,1.0,-2.0,-2.0,-0.67,-2.0,0.0,1.0,0.0
GLM,4,Fast\nPacing,0.8,-1.2,1.3,-2.0,-2.0,-2.0,-2.0,1.67,0.67,-2.0,-2.0,-2.0,-0.33
GLM,5,"""Tragedy""\nPlot",0.7,-0.87,1.47,2.0,1.0,0.0,-2.0,-2.0,0.33,-2.0,-2.0,-2.0,-2.0
GLM,6,Historical Fiction\nGenre,0.7,-1.13,1.33,-2.0,-2.0,-2.0,1.33,-2.0,0.67,-2.0,0.67,-2.0,-2.0
OPT,0,Flowery\nWriting style,0.2,0.53,0.73,0.67,0.67,0.67,1.0,0.67,0.67,0.0,0.67,-1.33,1.67
OPT,1,Humorous\nTone,0.9,-1.03,0.85,-0.67,0.33,-2.0,-1.67,-1.0,-0.67,-1.0,-2.0,0.33,-2.0
OPT,2,Fearful\nMood,0.7,-0.67,1.09,-1.33,-0.67,-2.0,-1.67,0.67,-0.67,0.33,1.33,-2.0,-0.67
OPT,3,Indirect\nCharacterization,0.6,-0.9,1.38,1.33,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.67
OPT,4,Fast\nPacing,0.6,-1.03,1.19,-2.0,0.33,-2.0,0.33,-2.0,-2.0,0.67,-2.0,-2.0,0.33
OPT,5,"""Tragedy""\nPlot",1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
OPT,6,Historical Fiction\nGenre,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
